Product Name,CURRENT PRICE,NEW PRICE,SKU
"LED Smart TV 32""",299.99,0,TV001
Wireless Earbuds,59.99,0,AUD002
Coffee Maker,89.99,0,KIT003
Bluetooth Speaker,45.99,0,SPK004
Gaming Keyboard,79.99,0,KB005
Fitness Tracker,49.99,0,FIT006
External SSD 1TB,129.99,0,SSD007
Wireless Mouse,29.99,0,MS008
Air Fryer XL,119.99,0,AF009
Robot Vacuum,249.99,0,VAC010
HD Webcam,39.99,0,CAM011
Smart Doorbell,89.99,0,SEC012
Desk Lamp LED,34.99,0,LMP013
Power Bank 20000mAh,49.99,0,PWR014
WiFi Router,79.99,0,NET015
Blender Pro,69.99,0,BLD016
Security Camera,59.99,0,CAM017
Smart Watch,129.99,0,WCH018
Wireless Charger,24.99,0,CHG019
Portable Fan,19.99,0,FAN020
